------------------------------------------------------------------------------
File Creation Date/Time: 24 Dec 2024 19:52:32
Block Name: ExtEvent1 (SBF)

TOW [s],WNc [w],Source,Polarity,Offset [s],Offset_TOW,RxClkBias [s],PVTAge [s]
339679.528,2343,EventA,rising edge event,0.0009,339679.528908,0.000027275,0
339684.011,2343,EventA,rising edge event,0.0008,339684.011815,0.000027368,0
339690.777,2343,EventA,rising edge event,0.0002,339690.777170,0.000027510,0
339695.022,2343,EventA,rising edge event,0.0006,339695.022584,0.000027627,0
339699.800,2343,EventA,rising edge event,0.0002,339699.800207,0.000027697,0
339705.730,2343,EventA,rising edge event,0.0008,339705.730778,0.000027820,0
339711.192,2343,EventA,rising edge event,0.0002,339711.192197,0.000027933,0
339715.723,2343,EventA,rising edge event,0.0008,339715.723754,0.000028026,0
339720.426,2343,EventA,rising edge event,0.0010,339720.426972,0.000028124,0
339724.191,2343,EventA,rising edge event,0.0009,339724.191915,0.000028202,0
339728.114,2343,EventA,rising edge event,0.0007,339728.114692,0.000028282,0
339732.717,2343,EventA,rising edge event,0.0010,339732.717954,0.000028378,0
339735.702,2343,EventA,rising edge event,0.0006,339735.702638,0.000028442,0
339738.930,2343,EventA,rising edge event,0.0001,339738.930056,0.000028542,0
339742.662,2343,EventA,rising edge event,0.0005,339742.662534,0.000028621,0
339745.972,2343,EventA,rising edge event,0.0003,339745.972280,0.000028691,0
339749.109,2343,EventA,rising edge event,0.0001,339749.109105,0.000028757,0
339752.516,2343,EventA,rising edge event,0.0001,339752.516097,0.000028798,0
339756.118,2343,EventA,rising edge event,0.0001,339756.118082,0.000028871,0
339759.114,2343,EventA,rising edge event,0.0005,339759.114490,0.000028932,0
339762.816,2343,EventA,rising edge event,0.0000,339762.816042,0.000029009,0
339766.972,2343,EventA,rising edge event,0.0009,339766.972940,0.000029099,0
339771.800,2343,EventA,rising edge event,0.0004,339771.800445,0.000029207,0
339779.327,2343,EventA,rising edge event,0.0009,339779.327851,0.000029404,0
339790.148,2343,EventA,rising edge event,0.0009,339790.148866,0.000029620,0
339794.262,2343,EventA,rising edge event,0.0007,339794.262682,0.000029715,0
339798.460,2343,EventA,rising edge event,0.0007,339798.460669,0.000029812,0
339803.162,2343,EventA,rising edge event,0.0010,339803.162963,0.000029917,0
339808.447,2343,EventA,rising edge event,0.0003,339808.447305,0.000030039,0
339813.549,2343,EventA,rising edge event,0.0002,339813.549157,0.000030161,0
339819.121,2343,EventA,rising edge event,0.0002,339819.121159,0.000030290,0
339823.565,2343,EventA,rising edge event,0.0004,339823.565438,0.000030394,0
339828.161,2343,EventA,rising edge event,0.0001,339828.161135,0.000030502,0
339831.291,2343,EventA,rising edge event,0.0001,339831.291111,0.000030578,0
339834.960,2343,EventA,rising edge event,0.0001,339834.960071,0.000030665,0
339838.382,2343,EventA,rising edge event,0.0005,339838.382502,0.000030748,0
339842.127,2343,EventA,rising edge event,0.0001,339842.127103,0.000030838,0
339846.184,2343,EventA,rising edge event,0.0007,339846.184736,0.000030934,0
339849.149,2343,EventA,rising edge event,0.0006,339849.149603,0.000031005,0
339853.617,2343,EventA,rising edge event,0.0008,339853.617787,0.000031112,0
339857.255,2343,EventA,rising edge event,0.0001,339857.255078,0.000031200,0
